latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
-31.9832,150.3211,347.6,0.39,0.55,2024-12-28,1229,1,VIIRS,nominal,2.0NRT,309.8,32.2,D
-11.4813,-55.5292,333.8,0.67,0.58,2024-12-28,0258,N,VIIRS,nominal,2.0NRT,303.0,45.9,N
-27.9433,147.2363,337.7,0.52,0.56,2024-12-28,0250,1,VIIRS,nominal,2.0NRT,306.6,82.8,N
-29.9502,146.625,352.5,0.48,0.5,2024-12-27,1548,1,VIIRS,nominal,2.0NRT,307.6,35.9,D
-17.8536,-54.0759,344.8,0.66,0.58,2024-12-26,1502,N,VIIRS,nominal,2.0NRT,310.0,25.6,D
-13.7383,-53.2053,360.7,0.45,0.41,2024-12-26,1235,1,VIIRS,nominal,2.0NRT,312.1,73.1,D
-12.7821,-56.6475,354.1,0.44,0.49,2024-12-25,1306,N,VIIRS,nominal,2.0NRT,307.3,52.0,D
-14.1593,-52.7452,332.7,0.56,0.42,2024-12-24,0316,N,VIIRS,nominal,2.0NRT,299.6,37.6,N
-15.8167,-57.0538,339.5,0.62,0.56,2024-12-24,0109,N,VIIRS,nominal,2.0NRT,304.1,85.6,N
-29.1856,148.1848,336.4,0.72,0.42,2024-12-21,0016,1,VIIRS,nominal,2.0NRT,302.6,71.9,N
-15.0197,-59.7792,330.6,0.54,0.65,2024-12-19,0202,N,VIIRS,nominal,2.0NRT,300.3,41.3,N
-11.3744,-54.5036,354.0,0.51,0.35,2024-12-18,1512,N,VIIRS,nominal,2.0NRT,307.3,33.2,D
-31.4034,146.23,367.0,0.64,0.55,2024-12-16,1445,1,VIIRS,high,2.0NRT,317.8,255.3,D
-34.1512,152.1984,356.3,0.67,0.55,2024-12-15,1529,1,VIIRS,nominal,2.0NRT,313.5,61.4,D
-26.3921,150.4491,352.2,0.49,0.42,2024-12-14,1439,1,VIIRS,nominal,2.0NRT,313.1,66.5,D
-30.5206,146.0028,327.6,0.74,0.59,2024-12-14,0229,1,VIIRS,nominal,2.0NRT,300.4,28.7,N
-28.4503,148.8926,356.1,0.41,0.61,2024-12-12,1516,1,VIIRS,nominal,2.0NRT,312.0,93.8,D
-16.6229,-58.6827,331.5,0.4,0.44,2024-12-12,0254,N,VIIRS,nominal,2.0NRT,303.8,37.0,N
-15.7593,-57.7172,327.4,0.57,0.57,2024-12-09,0305,1,VIIRS,nominal,2.0NRT,300.4,26.9,N
-28.2963,147.6656,354.9,0.52,0.44,2024-12-07,1403,1,VIIRS,nominal,2.0NRT,310.4,53.7,D
-27.9416,151.2077,360.7,0.37,0.51,2024-12-05,1317,1,VIIRS,high,2.0NRT,318.1,163.1,D
-9.2027,-59.8629,343.0,0.5,0.59,2024-12-04,0115,N,VIIRS,high,2.0NRT,305.6,154.0,N
-32.4848,151.0768,359.0,0.4,0.61,2024-12-02,1203,N,VIIRS,nominal,2.0NRT,310.9,58.7,D
-10.9029,-53.9464,325.7,0.59,0.51,2024-12-01,0246,N,VIIRS,nominal,2.0NRT,298.9,19.4,N
-9.9366,-56.3002,361.6,0.73,0.46,2024-11-27,1435,N,VIIRS,nominal,2.0NRT,316.9,101.4,D
-30.2808,150.0237,336.2,0.74,0.58,2024-11-27,0200,N,VIIRS,nominal,2.0NRT,299.7,42.6,N
-16.0288,-52.8339,337.2,0.46,0.59,2024-11-26,0249,N,VIIRS,nominal,2.0NRT,302.8,61.9,N
-27.1845,146.2793,326.2,0.51,0.53,2024-11-23,0253,1,VIIRS,nominal,2.0NRT,298.6,28.2,N
-34.79,147.5729,352.2,0.36,0.45,2024-11-19,1300,N,VIIRS,nominal,2.0NRT,309.7,41.3,D
-27.7666,146.5163,357.8,0.72,0.6,2024-11-15,1408,N,VIIRS,nominal,2.0NRT,311.6,73.3,D
-26.3262,148.066,331.4,0.77,0.59,2024-11-15,0148,N,VIIRS,nominal,2.0NRT,297.3,27.7,N
-26.3343,146.1149,338.9,0.75,0.61,2024-11-11,0025,N,VIIRS,nominal,2.0NRT,306.7,76.7,N
-9.6594,-53.05,324.7,0.44,0.51,2024-11-11,0019,1,VIIRS,nominal,2.0NRT,299.2,22.2,N
-12.7257,-56.0562,358.9,0.74,0.36,2024-11-09,1535,1,VIIRS,nominal,2.0NRT,313.2,79.7,D
-16.3174,-57.3921,334.5,0.5,0.6,2024-11-09,0333,1,VIIRS,nominal,2.0NRT,301.9,70.7,N
-10.6132,-57.126,349.6,0.44,0.4,2024-11-08,1540,1,VIIRS,nominal,2.0NRT,307.4,32.0,D
-31.1462,152.9391,354.2,0.63,0.36,2024-11-07,1301,1,VIIRS,nominal,2.0NRT,309.4,47.6,D
-33.3586,150.5835,362.2,0.45,0.57,2024-11-06,1339,1,VIIRS,nominal,2.0NRT,313.4,68.8,D
-9.7336,-55.2084,335.6,0.66,0.59,2024-11-04,0215,N,VIIRS,nominal,2.0NRT,305.2,57.1,N
-33.4484,147.6806,326.6,0.4,0.5,2024-11-01,0124,1,VIIRS,nominal,2.0NRT,302.4,23.6,N
53.7442,-114.0107,332.0,0.47,0.63,2024-10-28,0014,N,VIIRS,nominal,2.0NRT,298.0,27.8,N
55.5241,-124.5947,367.0,0.65,0.44,2024-10-27,1511,N,VIIRS,high,2.0NRT,317.5,444.4,D
37.2621,2.5557,358.4,0.42,0.59,2024-10-27,1416,1,VIIRS,nominal,2.0NRT,310.8,54.2,D
63.8985,131.4699,336.1,0.52,0.55,2024-10-27,0126,N,VIIRS,nominal,2.0NRT,304.8,52.7,N
37.9572,14.2386,362.4,0.44,0.65,2024-10-26,1517,1,VIIRS,high,2.0NRT,320.0,188.7,D
58.34,133.9002,332.7,0.61,0.61,2024-10-25,0144,N,VIIRS,nominal,2.0NRT,300.5,43.0,N
40.5504,-120.4906,344.6,0.75,0.46,2024-10-25,0038,1,VIIRS,nominal,2.0NRT,306.2,127.2,N
63.5622,131.071,355.3,0.67,0.57,2024-10-24,1429,1,VIIRS,nominal,2.0NRT,311.8,57.2,D
40.3564,16.0505,350.5,0.45,0.36,2024-10-23,1444,N,VIIRS,nominal,2.0NRT,307.2,48.0,D
38.2457,-120.7477,363.8,0.42,0.45,2024-10-23,1359,1,VIIRS,high,2.0NRT,317.7,165.1,D
38.8807,-122.1119,353.7,0.41,0.43,2024-10-22,1325,N,VIIRS,nominal,2.0NRT,310.0,37.5,D
61.4415,119.7879,326.5,0.75,0.64,2024-10-22,0009,1,VIIRS,nominal,2.0NRT,301.5,28.7,N
38.6044,-4.7686,319.2,0.69,0.5,2024-10-20,0353,N,VIIRS,nominal,2.0NRT,296.8,13.6,N
38.6157,-120.9222,332.8,0.69,0.45,2024-10-20,0201,1,VIIRS,nominal,2.0NRT,300.1,38.5,N
58.7652,-112.9286,362.8,0.63,0.56,2024-10-19,1205,N,VIIRS,high,2.0NRT,316.9,147.4,D
61.8265,-118.0564,340.2,0.51,0.41,2024-10-19,0041,1,VIIRS,nominal,2.0NRT,305.7,79.5,N
59.4585,-122.3532,367.0,0.49,0.39,2024-10-16,1205,1,VIIRS,high,2.0NRT,317.4,265.4,D
37.2852,1.3479,332.1,0.54,0.47,2024-10-16,0009,1,VIIRS,nominal,2.0NRT,302.4,42.9,N
58.1618,134.4868,363.9,0.52,0.39,2024-10-15,1541,N,VIIRS,nominal,2.0NRT,313.5,126.5,D
39.2807,-5.7304,341.8,0.5,0.59,2024-10-15,1515,N,VIIRS,nominal,2.0NRT,306.9,25.7,D
40.8212,6.9502,351.6,0.58,0.54,2024-10-15,1337,1,VIIRS,nominal,2.0NRT,308.9,48.9,D
60.9551,119.08,360.8,0.63,0.38,2024-10-15,1243,N,VIIRS,nominal,2.0NRT,312.4,120.2,D
40.5247,-119.0753,355.6,0.66,0.38,2024-10-14,1315,1,VIIRS,nominal,2.0NRT,313.6,66.4,D
39.8956,-121.2338,329.2,0.46,0.52,2024-10-14,0344,N,VIIRS,low,2.0NRT,303.5,39.3,N
39.6926,-121.581,332.5,0.6,0.52,2024-10-14,0148,N,VIIRS,nominal,2.0NRT,302.3,50.0,N
64.3871,119.5887,344.8,0.78,0.4,2024-10-12,1411,N,VIIRS,nominal,2.0NRT,310.8,22.6,D
39.0756,-119.7179,335.8,0.49,0.49,2024-10-12,0138,1,VIIRS,nominal,2.0NRT,303.2,65.2,N
40.5283,-120.1869,366.9,0.6,0.62,2024-10-10,1512,N,VIIRS,high,2.0NRT,315.6,223.0,D
38.1991,5.4127,362.8,0.49,0.54,2024-10-10,1236,N,VIIRS,nominal,2.0NRT,313.8,112.0,D
53.3179,-113.0028,352.9,0.67,0.36,2024-10-09,1537,N,VIIRS,nominal,2.0NRT,310.7,62.2,D
39.0197,-121.2436,339.4,0.71,0.54,2024-10-09,0334,N,VIIRS,nominal,2.0NRT,303.0,68.3,N
40.1726,-119.6714,351.4,0.6,0.42,2024-10-08,1552,1,VIIRS,nominal,2.0NRT,307.6,24.3,D
63.4805,125.7193,356.8,0.4,0.5,2024-10-07,1238,N,VIIRS,nominal,2.0NRT,312.0,104.2,D
37.3463,3.1909,346.2,0.67,0.42,2024-10-05,1312,1,VIIRS,nominal,2.0NRT,309.3,15.8,D
40.1247,-119.1719,355.1,0.76,0.46,2024-10-05,1251,1,VIIRS,nominal,2.0NRT,312.3,57.9,D
36.9515,4.6264,358.4,0.45,0.36,2024-10-04,1437,1,VIIRS,nominal,2.0NRT,307.6,59.7,D
41.3028,3.9549,351.4,0.56,0.45,2024-10-04,1408,N,VIIRS,nominal,2.0NRT,307.9,38.1,D
54.8467,-124.5248,358.0,0.68,0.57,2024-10-04,1243,N,VIIRS,nominal,2.0NRT,317.6,101.4,D
40.9056,-119.2367,366.9,0.76,0.46,2024-10-03,1216,N,VIIRS,high,2.0NRT,318.8,179.4,D
39.634,20.398,350.1,0.39,0.54,2024-10-02,1340,1,VIIRS,nominal,2.0NRT,307.4,19.8,D
37.3079,6.1387,353.5,0.4,0.44,2024-10-01,1334,N,VIIRS,nominal,2.0NRT,307.8,38.4,D
54.2419,-119.4253,357.9,0.76,0.38,2024-09-28,1401,1,VIIRS,nominal,2.0NRT,312.9,73.9,D
36.561,3.0374,352.8,0.42,0.57,2024-09-28,1346,1,VIIRS,nominal,2.0NRT,308.5,43.6,D
63.5084,126.851,329.7,0.68,0.64,2024-09-27,0133,1,VIIRS,nominal,2.0NRT,299.7,28.0,N
53.762,-116.6508,337.8,0.52,0.42,2024-09-26,0339,N,VIIRS,nominal,2.0NRT,305.4,98.3,N
61.6301,-116.1268,343.1,0.57,0.5,2024-09-26,0316,1,VIIRS,nominal,2.0NRT,305.1,96.2,N
